ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
451328473,2025-08-29T17:49:15.489000,2025-08-29T17:49:31.174000,buy,0.03,0.03,XAUUSD,3443.138,3442.138,3442.138,3451.119,0,0,-3,,,sl
451324752,2025-08-29T16:43:59.547000,2025-08-29T16:51:58.367000,sell,0.03,0.03,XAUUSD,3446.926,3447.926,3447.926,3443.927,0,0,-3,,,sl
451278295,2025-08-29T16:15:29.217000,2025-08-29T16:19:36.664000,buy,0.03,0.03,XAUUSD,3443.34,3442.34,3442.34,3451.084,0,0,-3,,,sl
449934683,2025-08-28T14:45:57.684000,2025-08-28T16:11:10.616000,sell,0.02,0.03,XAUUSD,3412.69,3413.69,3413.69,3402.681,0,0,-2,,,sl
449934683,2025-08-28T14:45:57.684000,2025-08-28T15:29:42.812000,sell,0.01,0.03,XAUUSD,3412.69,3406.551,3413.69,3402.681,,0,6.14,,,user
449908040,2025-08-28T14:28:27.430000,2025-08-28T14:40:16.477000,sell,0.03,0.03,XAUUSD,3411.21,3412.21,3412.21,,0,0,-3,,,sl
449871445,2025-08-28T14:02:39.777000,2025-08-28T14:07:25.305000,sell,0.02,0.02,XAUUSD,3409.13,3410.63,3410.63,3394.13,0,0,-3,,,sl
448497814,2025-08-27T12:06:17.916000,2025-08-27T16:24:46.969000,buy,0.01,0.03,XAUUSD,3374.671,3390.671,3373.616,3390.671,0,0,16,,,tp
448497814,2025-08-27T12:06:17.916000,2025-08-27T15:37:37.299000,buy,0.01,0.03,XAUUSD,3374.671,3387.114,3373.616,3390.671,,0,12.44,,,user
448497814,2025-08-27T12:06:17.916000,2025-08-27T12:25:46.103000,buy,0.01,0.03,XAUUSD,3374.671,3380.559,3373.616,3390.671,,0,5.89,,,user
444713152,2025-08-22T14:28:50.342000,2025-08-22T14:30:04.939000,sell,0.02,0.02,XAUUSD,3365.977,3368.243,3367.97,,0,0,-4.54,,,sl
444663782,2025-08-22T14:12:39.212000,2025-08-22T14:16:41.841000,sell,0.02,0.02,XAUUSD,3359.69,3361.68,3361.68,,0,0,-3.98,,,sl
444648249,2025-08-22T14:09:42.364000,2025-08-22T14:10:02.303000,sell,0.02,0.02,XAUUSD,3354.775,3357.338,3356.77,3329.976,0,0,-5.13,,,sl
444622006,2025-08-22T14:06:25.684000,2025-08-22T14:08:02.116000,sell,0.02,0.02,XAUUSD,3354.153,3356.136,3356.136,3311.247,0,0,-3.96,,,sl
444608695,2025-08-22T14:02:00.223000,2025-08-22T14:02:17.128000,sell,0.02,0.02,XAUUSD,3348.774,3350.28,3350.28,,0,0,-3.01,,,sl
444553980,2025-08-22T13:51:19.503000,2025-08-22T14:00:00.458000,sell,0.02,0.02,XAUUSD,3334.917,3335.253,3334.907,3311.106,0,0,-0.68,,,sl
444541230,2025-08-22T13:40:00.284000,2025-08-22T13:40:40.691000,sell,0.03,0.03,XAUUSD,3334.384,3335.292,3335.292,,0,0,-2.73,,,sl
444516854,2025-08-22T13:29:39.348000,2025-08-22T13:30:04.004000,sell,0.03,0.03,XAUUSD,3329.288,3330.25,3330.25,3311.513,0,0,-2.89,,,sl
444482398,2025-08-22T13:02:32.936000,2025-08-22T13:08:04.107000,sell,0.02,0.02,XAUUSD,3325.495,3326.707,3326.707,3311.493,0,0,-2.42,,,sl
444402565,2025-08-22T12:13:26.602000,2025-08-22T12:32:04.763000,buy,0.03,0.03,XAUUSD,3325.806,3324.806,3324.806,3352.431,0,0,-3,,,sl
444281591,2025-08-22T12:11:43.018000,2025-08-22T12:12:02.827000,buy,0.02,0.02,XAUUSD,3326.518,3325.224,3325.224,3352.192,0,0,-2.59,,,sl
443546552,2025-08-21T14:35:09.464000,2025-08-21T14:38:48.137000,sell,0.02,0.02,XAUUSD,3346.427,3347.87,3347.87,3311.495,0,0,-2.89,,,sl
443607244,2025-08-21T14:22:23.414000,2025-08-21T14:31:37.314000,sell,0.02,0.02,XAUUSD,3344.358,3345.808,3345.808,3311.373,0,0,-2.9,,,sl
443441667,2025-08-21T12:52:12.105000,2025-08-21T13:30:59.043000,buy,0.01,0.02,XAUUSD,3339.175,3346.469,3339.175,3346.469,0,0,7.29,,,tp
443441667,2025-08-21T12:52:12.105000,2025-08-21T13:22:41.176000,buy,0.01,0.02,XAUUSD,3339.175,3344.846,3339.175,3346.469,,0,5.67,,,user
443399325,2025-08-21T12:33:18.876000,2025-08-21T12:34:29.496000,sell,0.02,0.02,XAUUSD,3341.463,3343.087,3343.087,,0,0,-3.24,,,sl
